Date,NAV
20110414,23.5727
20110415,23.5971
20110418,23.5387
20110419,23.4533
20110420,23.692
20110421,23.8528
20110426,23.8578
20110427,23.8872
20110428,23.9276
20110429,23.974
20110430,23.9738
20110502,24.0332
20110503,23.9543
20110504,23.6613
20110505,23.8067
20110506,23.9896
20110509,24.2115
20110510,24.2981
20110511,24.2787
20110512,24.2508
20110513,24.0917
20110516,23.9344
20110517,23.8869
20110518,24.0017
20110519,24.0206
20110520,24.0272
20110523,23.7515
20110524,23.6775
20110525,23.8033
20110526,23.9165
20110527,23.8954
20110530,23.8518
20110531,24.0005
20110601,23.6873
20110602,23.4166
20110603,23.1748
20110606,22.9669
20110607,22.8943
20110608,22.8372
20110609,23.0641
20110610,22.9641
20110613,22.9336
20110614,23.1108
20110615,23.019
20110616,23.0036
20110617,22.8793
20110620,22.8266
20110621,23.1185
20110622,23.0529
20110623,23.088
20110624,23.0143
20110627,22.9165
20110628,23.0639
20110629,23.3881
20110630,23.5415
20110701,23.7687
20110704,23.8318
20110705,23.8419
20110706,24.0406
20110707,24.1047
20110708,24.0881
20110711,23.972
20110712,23.6131
20110713,23.6221
20110714,23.4715
20110715,23.5107
20110718,23.3333
20110719,23.3792
20110720,23.5863
20110721,23.6422
20110722,23.7652
20110725,23.6465
20110726,23.4925
20110727,23.2773
20110728,23.2696
20110729,23.0385
20110731,23.0381
20110801,23.1503
20110802,22.6283
20110803,22.2975
20110804,21.5461
20110805,21.1874
20110808,20.2333
20110809,20.59
20110810,20.0473
20110811,20.4729
20110812,20.7829
20110815,20.8433
20110816,20.861
20110817,20.8439
20110818,20.0901
20110819,19.5908
20110822,19.582
20110823,20.0009
20110824,20.1343
20110825,20.0517
20110826,20.1523
20110829,20.3926
20110830,20.6196
20110831,20.9841
20110901,21.111
20110902,20.6485
20110905,20.2314
20110906,20.0705
20110907,20.6542
20110908,20.669
20110909,20.4311
20110912,20.2832
20110913,20.4174
20110914,20.5376
20110915,20.7981
20110916,21.0667
20110919,20.9159
20110920,20.8859
20110921,20.5483
20110922,19.9141
20110923,19.9051
20110926,20.1214
20110927,20.5937
20110928,20.4082
20110929,20.5103
20110930,20.3864
20111003,20.095
20111004,19.931
20111005,20.2893
20111006,20.7189
20111007,20.7367
20111010,21.0178
20111011,21.0728
20111012,21.1618
20111013,21.1599
20111014,21.2074
20111017,21.1634
20111018,21.2777
20111019,21.1155
20111020,21.0255
20111021,21.2533
20111024,21.6209
